phase;name;index;predecessors;type;microProjects;smallProjects;avgProjects;bigProjects;veryBigProjects;hugeProjects;category;discipline;description;author
Inception;Set Up Configuration Management (CM) Environment;16;;Task;0;0;0;0;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - nie wystepuje; duze - nie wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";srodowisko;W tym zadaniu opisano sposob tworzenia srodowiska, w ktorym mozna opracowac i zbudowac produkt.;Adrian MALIK
Inception;Create Integration Workspaces;17;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";srodowisko;Tak samo jak programisci maja swoje srodowisko do tworzenia oprogramowania, oprogramowanie powinno byc takze integrowane w srodowisku do tego przeznaczonym;Dominik DAWIDZIAK
Inception;Assess Business Status;18;;Activity;0;0;0;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - nie wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Modelowanie biznesowe;Ocena statusu organizacji w ktorym system ma zostac wdrozony, stworzenie piwrszych celow i wizji;Dominik DAWIDZIAK
Inception;Assess Target Organization;19;;Task;0;0;0;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - nie wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;na poczatku projektu przy analizie, mozna wracac po kazdej iteracji;Dominik DAWIDZIAK
Inception;Set and Adjust Objectives;20;;Task;0;0;0;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - nie wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Modelowanie biznesowe;"Jezeli wymagane na poczatku kazdej iteracji, aby stworzyc ""wizje"" przyszlego projektu";Dominik DAWIDZIAK
Inception;Identify Business Goals and KPIs;21;;Task;0;0;0;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - nie wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Modelowanie biznesowe;;Dominik DAWIDZIAK
Inception;Business Architectural Analysis;22;;Task;0;0;1;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;;Dominik DAWIDZIAK
Inception;Capture a Common Business Vocabulary;23;;Task;0;0;1;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Modelowanie biznesowe;;Dominik DAWIDZIAK
Inception;Maintain Business Rules;24;;Task;0;0;0;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - nie wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Modelowanie biznesowe;Zadanie ma dac definicje dla zasad biznesowych i okreslic jakie zasady biznesowe obowiazuja w projekcie;Dominik DAWIDZIAK
Inception;Prepare Environment for an Iteration;25;3,8,18;Activity;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";srodowisko;;Dominik DAWIDZIAK
Inception;Develop Development Case;26;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";srodowisko;Zadanie definiuje proces rozwoju oprogramowanie dla organizacji lub projektu;Dominik DAWIDZIAK
Inception;Prepare Guidelines for the Project;27;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";srodowisko;Najczesciej instrukcjie i konkretne przyklady sa tworzone podczas pracy, tworzenia srodowiska dla iteracji;Dominik DAWIDZIAK
Inception;Develop Manual Styleguide;28;;Task;0;0;0;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - nie wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";srodowisko;Styleguide ma pomoc zachowac zgodnosc dla wszystkich materialow wspoerajacych uzytkownika koncowego;Dominik DAWIDZIAK
Inception;Prepare Templates for the Project;29;;Task;0;0;0;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - nie wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";srodowisko;;Dominik DAWIDZIAK
Inception;Launch Development Process;30;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";srodowisko;;Dominik DAWIDZIAK
Inception;Set Up Tools;31;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";srodowisko;Instalacja potrzebnych narzedzi;Dominik DAWIDZIAK
Inception;Verify Tool Configuration and Installation;32;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";srodowisko;;Dominik DAWIDZIAK
Inception;Define Project Plans;33;25;Activity;0;0;0;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - nie wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Zarzadzanie projektami;definicja planu to element zwiazany z zarzadzaniem projektem;Karol MARTYNIUK
Inception;Plan the Project;34;;Activity;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;utworzenie planu to element projektowy, poprzedzony analiza;Karol MARTYNIUK
Inception;Develop Measurement Plan;35;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;utworzenie planu to element projektowy, poprzedzony analiza;Karol MARTYNIUK
Inception;Develop Risk Management Plan;36;;Task;0;0;0;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - nie wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;utworzenie planu to element projektowy, poprzedzony analiza;Karol MARTYNIUK
Inception;Develop Product Acceptance Plan;37;;Task;0;0;0;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - nie wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;utworzenie planu to element projektowy, poprzedzony analiza;Karol MARTYNIUK
Inception;Develop Problem Resolution Plan;38;;Task;0;0;0;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - nie wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;utworzenie planu to element projektowy, poprzedzony analiza;Karol MARTYNIUK
Inception;Develop Quality Assurance Plan;39;;Task;0;0;0;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - nie wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;utworzenie planu to element projektowy, poprzedzony analiza;Karol MARTYNIUK
Inception;Define Project Organization and Staffing;40;;Task;0;0;0;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - nie wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Zarzadzanie projektami;definicja organizacji projektu i presonelu to element zwiazany z zarzadzaniem projektem;Karol MARTYNIUK
Inception;Define Monitoring & Control Processes;41;;Task;0;0;1;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Zarzadzanie projektami;definicja procesow monitorowania i kontroli projektu to element zwiazany z zarzadzaniem projektem;Karol MARTYNIUK
Inception;Plan Phases and Iterations;42;;Task;0;0;0;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - nie wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Zarzadzanie projektami;okreslenie faz planowania i iteracji to element zwiazany z zarzadzaniem projektem;Karol MARTYNIUK
Inception;Compile Software Development Plan;43;;Task;0;0;0;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - nie wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;utworzenie planu rozwoju oprogramowania to element projektowy, poprzedzony analiza;Karol MARTYNIUK
Inception;Project Planning Review;44;;Task;0;0;0;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - nie wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Zarzadzanie projektami;przeglad planowania projektu to element zarzadzania projektami;Karol MARTYNIUK
Inception;Monitor and Control Project;54;25;Activity;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Zarzadzanie projektami;monitorowanie i kontrola pracy to element zarzadzania projektami;Karol MARTYNIUK
Inception;Schedule and Assign Work;55;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Zarzadzanie projektami;planowanie i przydzielanie pracy to element zarzadzania projektami;Karol MARTYNIUK
Inception;Monitor Project Status;56;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Zarzadzanie projektami;monitorowanie statusu projektu to element zarzadzania projektami;Karol MARTYNIUK
Inception;Report Status;57;;Task;0;1;1;1;1;1;"mikro male -  nie wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Zarzadzanie projektami;Zadanie odpowiedzialne za dostarczanie okresowych aktualizacji odnosnie informacji o stanie projektu;Patryk BARCZAK
Inception;Handle Exceptions and Problems;58;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Zarzadzanie projektami;Element odpowiedzialny za zapewnienie jakosci procesow i produktow, informowanie kierownictwa o problemach zwiazanych z jakoscia oraz zapewnienie rozwiazania kwestii niezgodnosci - element odpowiedzialny za monitorowanie i kontrole projektu, ktory juz istnieje, dlatego task ten przypisany jest do zarzadzania projektami;Patryk BARCZAK
Inception;Project Review Authority (PRA) Project Review;59;;Task;0;0;1;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Zarzadzanie projektami;Zadanie te opisuje, w jaki sposob dokonywac przegladu postepow w realizacji projektu dlatego najlepiej pasuje do zarzadzania projektami.;Patryk BARCZAK
Inception;Organize Review;60;;Task;0;0;1;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Zarzadzanie projektami;Zadanie to opisuje, jak ulatwic proces przegladu i zapewnic jego prawidlowe przeprowadzenie.;Patryk BARCZAK
Inception;Conduct Review;61;;Task;0;0;1;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Zarzadzanie projektami;Zadanie to opisuje, w jaki sposob ulatwic przeglad, aby zmaksymalizowac wydajnosc pracy recenzentow i spelnic okreslone wymagania jakosciowe.;Patryk BARCZAK
Inception;Develop Initial Vision;62;25;Activity;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Gromadzenie wymagan;W tym zadaniu opisano, jak opracowac ogolna wizje systemu, w tym problem do rozwiazania, glownych interesariuszy, zakres/granice systemu, glowne cechy systemu oraz wszelkie ograniczenia. - pierwszy ra;Patryk BARCZAK
Inception;Analyze the Problem;63;;Activity;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Gromadzenie wymagan;W ramach tego dzialania uzyskuje sie porozumienie co do rozwiazywanego problemu i proponuje sie rozwiazanie na wysokim poziomie.;Patryk BARCZAK
Inception;Capture a Common Vocabulary;64;;Task;0;0;1;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Gromadzenie wymagan;W tym zadaniu opisano sposob definiowania wspolnego zestawu terminow, ktore musza byc konsekwentnie stosowane w projekcie.;Patryk BARCZAK
Inception;Find Actors and Use Cases;65;;Task;0;1;1;1;1;1;"mikro male -  nie wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Gromadzenie wymagan;W tym zadaniu identyfikuje sie aktorow i przypadki uzycia, ktore beda wspierac wdrazane wymagania. Identyfikacja aktorow i przypadkow uzycia jednoznacznie okresla zakres systemu.;Patryk BARCZAK
Inception;Develop Vision;66;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Gromadzenie wymagan;W tym zadaniu opisano, jak opracowac ogolna wizje systemu, w tym problem do rozwiazania, glownych interesariuszy, zakres/granice systemu, glowne cechy systemu oraz wszelkie ograniczenia.;Patryk BARCZAK
Inception;Develop Requirements Management Plan;67;;Task;0;1;1;1;1;1;"mikro male -  nie wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Gromadzenie wymagan;W tym zadaniu opisano sposob opracowania planu dokumentowania wymagan, ich atrybutow oraz wytycznych dotyczacych sledzenia i zarzadzania wymaganiami dla produktow.;Patryk BARCZAK
Inception;Understand Stakeholder Needs;68;;Activity;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Gromadzenie wymagan;W ramach tego dzialania dazy sie do zrozumienia, czego interesariusze oczekuja od proponowanego rozwiazania, oraz okresla sie kluczowe cechy rozwiazania.;Patryk BARCZAK
Inception;Capture a Common Vocabulary;69;;Task;0;0;1;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Gromadzenie wymagan;W tym zadaniu opisano sposob definiowania wspolnego zestawu terminow, ktore musza byc konsekwentnie stosowane w projekcie.;Patryk BARCZAK
Inception;Elicit Stakeholder Requests;70;;Task;0;1;1;1;1;1;"mikro male -  nie wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Gromadzenie wymagan;W tym zadaniu opisano sposob pozyskiwania od interesariuszy informacji o tym, co chcieliby, aby zapewnial im system.;Patryk BARCZAK
Inception;Develop Vision;71;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Gromadzenie wymagan;W tym zadaniu opisano, jak opracowac ogolna wizje systemu, w tym problem do rozwiazania, glownych interesariuszy, zakres/granice systemu, glowne cechy systemu oraz wszelkie ograniczenia.;Patryk BARCZAK
Inception;Find Actors and Use Cases;72;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Przedstawienie funkcjonalnosci systemu (wymagania funkcjonalne oraz pozafunkcjonalne).;Dawid BONDYRA
Inception;Develop Supplementary Specifications;73;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Wymagania prawne oraz specyfikacje dla systemu;Dawid BONDYRA
Inception;Manage Dependencies;74;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;;Dawid BONDYRA
Inception;Develop Domain Model;75;25;Activity;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Tworzenie glownego modelu systemu.;Dawid BONDYRA
Inception;Capture a Common Business Vocabulary;76;;Task;0;0;1;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Modelowanie biznesowe;Zdefiniowanie slownictwa biznesowego.;Dawid BONDYRA
Inception;Maintain Business Rules;77;;Task;0;0;1;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Modelowanie biznesowe;Okreslenie zasad biznesowych w projekcie.;Dawid BONDYRA
Inception;Business Architectural Analysis;78;;Task;0;1;1;1;1;1;"mikro male -  nie wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;;Dawid BONDYRA
Inception;Detail a Business Entity;79;;Task;0;0;1;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;;Dawid BONDYRA
Inception;Review the Business Analysis Model;80;;Task;0;0;1;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Modelowanie biznesowe;;Dawid BONDYRA
Inception;Manage the Scope of the System;81;75,62;Activity;0;0;1;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;;Dawid BONDYRA
Inception;Develop Vision;82;;Task;0;0;1;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;;Dawid BONDYRA
Inception;Manage Dependencies;83;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;;Dawid BONDYRA
Inception;Prioritize Use Cases;84;;Task;0;1;1;1;1;1;"mikro male -  nie wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Okreslenie priorytetow przypadkow uzycia ;Dawid BONDYRA
Inception;Define the System;85;75,62;Activity;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Definicja systemu poprzez okreslenie jego celu dzialania oraz innych niezbednych informacji.;Dawid BONDYRA
Inception;Develop Vision;86;;Task;0;0;1;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;;Dawid BONDYRA
Inception;Capture a Common Vocabulary;87;;Task;0;0;1;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Zdefiniowanie wspolnego slownicwa, ktorego mozna uzywac glownie w opisach przypadkow uzycia.;lukasz GUZEK
Inception;Find Actors and Use Cases;88;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Przedstawienie funkcjonalnosci systemu, zdefiniowac, co bedzie obslugiwane przez system, a co poza systemem, zdefiniowac kto i co bedzie wchodzic w interakcje z systemem.;lukasz GUZEK
Inception;Develop Supplementary Specifications;89;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Wymagania prawne i regulacyjne oraz standardy aplikacji;lukasz GUZEK
Inception;Manage Dependencies;90;;Task;0;0;1;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;-;lukasz GUZEK
Inception;Perform Architectural Synthesis;91;75,62;Activity;0;0;1;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Skonstruowanie i ocena Proof-of-Concept w celu wykazania, ze ??istnieje lub moze istniec rozwiazanie, ktore spelni wymagania architektoniczne, tj. wykazanie, ze system, zgodnie z przewidywaniami, jest wykonalne.;lukasz GUZEK
Inception;Define System Context;92;;Task;0;0;1;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;-;lukasz GUZEK
Inception;Architectural Analysis;93;;Task;0;0;1;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;-;lukasz GUZEK
